N53	t2	{pvagin,hcompr,rtuber,etrips,udigit,vcuspi,rrottb,tdacs1,tdacs2,tdacn2,tdacn1,znicar,zluxur,zdmomo,zdgigi,zmhuet,zTIL18,zTIL25,zmB735,zTIL11,zTIL01,cserru,telega,atenui,snutan,irugos,sbicol,ppanic,ttrian,hconto,blagur}|{crefra}#{sscopa,smicro,avirgi,agerar,achine}|{ccitra}	0	2.60774	536.988
N53	t3	{ccitra}|{pvagin,hcompr,rtuber,etrips,udigit,vcuspi,rrottb,tdacs1,tdacs2,tdacn2,tdacn1,znicar,zluxur,zdmomo,zdgigi,zmhuet,zTIL18,zTIL25,zmB735,zTIL11,zTIL01,cserru,telega,atenui,snutan,irugos,sbicol,ppanic,ttrian,hconto,blagur}#{sscopa,smicro,avirgi,agerar,achine}|{crefra}	0	1.89419	536.988
N58	t1	{sscopa,smicro,avirgi,agerar,achine}|{ccitra,crefra}#{ttrian,hconto,blagur}|{pvagin,hcompr,rtuber,etrips,udigit,vcuspi,rrottb,tdacs1,tdacs2,tdacn2,tdacn1,znicar,zluxur,zdmomo,zdgigi,zmhuet,zTIL18,zTIL25,zmB735,zTIL11,zTIL01,cserru,telega,atenui,snutan,irugos,sbicol,ppanic}	1	266.554	518.185
N58	t2	{pvagin,hcompr,rtuber,etrips,udigit,vcuspi,rrottb,tdacs1,tdacs2,tdacn2,tdacn1,znicar,zluxur,zdmomo,zdgigi,zmhuet,zTIL18,zTIL25,zmB735,zTIL11,zTIL01,cserru,telega,atenui,snutan,irugos,sbicol,ppanic}|{ccitra,crefra}#{ttrian,hconto,blagur}|{sscopa,smicro,avirgi,agerar,achine}	0	84.9029	518.185
N58	t3	{sscopa,smicro,avirgi,agerar,achine}|{pvagin,hcompr,rtuber,etrips,udigit,vcuspi,rrottb,tdacs1,tdacs2,tdacn2,tdacn1,znicar,zluxur,zdmomo,zdgigi,zmhuet,zTIL18,zTIL25,zmB735,zTIL11,zTIL01,cserru,telega,atenui,snutan,irugos,sbicol,ppanic}#{ttrian,hconto,blagur}|{ccitra,crefra}	8.23853e-17	166.728	518.185
N51	t1	{ttrian}|{hconto}#{blagur}|{pvagin,hcompr,rtuber,etrips,udigit,vcuspi,rrottb,tdacs1,tdacs2,tdacn2,tdacn1,znicar,zluxur,zdmomo,zdgigi,zmhuet,zTIL18,zTIL25,zmB735,zTIL11,zTIL01,cserru,telega,atenui,snutan,irugos,sbicol,ppanic,sscopa,smicro,avirgi,agerar,achine,ccitra,crefra}	1	360.914	570.394
N51	t2	{pvagin,hcompr,rtuber,etrips,udigit,vcuspi,rrottb,tdacs1,tdacs2,tdacn2,tdacn1,znicar,zluxur,zdmomo,zdgigi,zmhuet,zTIL18,zTIL25,zmB735,zTIL11,zTIL01,cserru,telega,atenui,snutan,irugos,sbicol,ppanic,sscopa,smicro,avirgi,agerar,achine,ccitra,crefra}|{hconto}#{blagur}|{ttrian}	0	128.311	570.394
N51	t3	{ttrian}|{pvagin,hcompr,rtuber,etrips,udigit,vcuspi,rrottb,tdacs1,tdacs2,tdacn2,tdacn1,znicar,zluxur,zdmomo,zdgigi,zmhuet,zTIL18,zTIL25,zmB735,zTIL11,zTIL01,cserru,telega,atenui,snutan,irugos,sbicol,ppanic,sscopa,smicro,avirgi,agerar,achine,ccitra,crefra}#{blagur}|{hconto}	0	81.1686	570.394
N52	t1	{ttrian,hconto}|{blagur}#{sscopa,smicro,avirgi,agerar,achine,ccitra,crefra}|{pvagin,hcompr,rtuber,etrips,udigit,vcuspi,rrottb,tdacs1,tdacs2,tdacn2,tdacn1,znicar,zluxur,zdmomo,zdgigi,zmhuet,zTIL18,zTIL25,zmB735,zTIL11,zTIL01,cserru,telega,atenui,snutan,irugos,sbicol,ppanic}	1	388.861	534.041
N52	t2	{pvagin,hcompr,rtuber,etrips,udigit,vcuspi,rrottb,tdacs1,tdacs2,tdacn2,tdacn1,znicar,zluxur,zdmomo,zdgigi,zmhuet,zTIL18,zTIL25,zmB735,zTIL11,zTIL01,cserru,telega,atenui,snutan,irugos,sbicol,ppanic}|{blagur}#{sscopa,smicro,avirgi,agerar,achine,ccitra,crefra}|{ttrian,hconto}	0	58.2622	534.041
